CityID,City
1,LAKE MATTHEWBURGH
2,WEST ANGELA
3,EAST JENNIFER
4,LAKE PATRICKBOROUGH
5,WEST JACOB
11,JENSENFURT
12,EAST JENNIFERSHIRE
13,CHASEBOROUGH
14,OWENSVIEW
15,NORTH JUAN
21,GRAYSTAD
22,CRAIGSTAD
23,LAKE WHITNEY
24,WEST SABRINA
25,EAST EUGENESTAD
31,NORTH ALISONTOWN
32,PEREZSHIRE
33,SOUTH WANDA
37,WEST RICKYSHIRE
38,LINDSAYVILLE
39,PORT DENISETOWN
43,NAVARROBURY
44,HANNAHBERG
45,PORT LINDSEYSHIRE
46,SOUTH CAITLYNSIDE
47,COXVIEW
53,WEST WILLIAM
54,WISEMOUTH
57,LAKE ANGELICAFURT
58,SMITHMOUTH
59,NEW MICHAELBOROUGH
60,NEW PETER
65,PORT LATOYABOROUGH
66,SANCHEZSTAD
67,EAST THOMASTOWN
68,SCOTTVILLE
69,WEST JESUS
70,NORTH MATHEW
77,SOUTH JOSEPH
78,NORTH DANIELTOWN
79,SANDOVALMOUTH
80,SOUTH HAILEYFURT
85,CRYSTALTON
86,DAVIDBURGH
87,PORT KATHLEENVILLE
88,PORT MICHAELLAND
93,KARENBERG
94,ATKINSONVIEW
95,LIBOROUGH
99,SHELLYMOUTH
100,EAST JOSHUA
101,LAKE THOMASTON
105,HALEYBOROUGH
106,ELIZABETHPORT
107,NEW JASMINE
108,LOPEZMOUTH
113,CALLAHANSIDE
114,EAST DUSTINBURGH
117,PORT ALICIAVIEW
118,WEST OLIVIA
119,KELSEYSIDE
120,PORT SHANNON
121,SOUTH ELIZABETHFURT
127,TIFFANYMOUTH
129,ALVARADOBURY
130,BRYANTHAVEN
133,EAST SANDRA
134,WEST MELISSA
135,WEST RAVENLAND
139,JOHNSCHESTER
141,NEW JENNIFER
142,WEST PAMELA
143,MOSSVILLE
144,BRITTNEYSHIRE
149,NICHOLASMOUTH
150,NORTH JASONLAND
151,SUSANBURGH
155,PETERSFURT
156,JENKINSHAVEN
157,BONNIELAND
158,PORT MICHAEL
159,BRENTHAVEN
160,LAKE MEGANVILLE
161,NEW MATTHEWBOROUGH
162,ALLENVIEW
171,WALKERFURT
172,WEST VIRGINIABURGH
173,SOUTH KARENSTAD
174,WARDFURT
179,JONESFORT
180,LAKE TYLER
181,NEW ALEXANDER
182,SANTIAGOCHESTER
183,NEW JONATHAN
184,LAKE DAVID
191,KATHERINEFORT
192,JENNIFERBOROUGH
193,LAKE TARAVIEW
197,SOUTH GLENDABERG
198,ANDERSENBURY
199,NORTH JEREMY
200,WEST KATHRYNPORT
205,PORT BERNARDBOROUGH
206,LAKE ALLISONBURY
207,PORT GABRIEL
211,PORT NICOLE
212,KIMBERLYFURT
213,LAKE LINDSAY
214,SOUTH KEITH
219,BENJAMINMOUTH
220,NEW HENRYHAVEN
223,NEW ERIC
224,NORTH MICHAELMOUTH
225,EAST KELLYMOUTH
229,DUDLEYBOROUGH
230,EAST BETHANY
231,PORT GARY
232,EAST SARAH
237,ROJASSHIRE
239,EAST LOGAN
240,NEW HAYDEN
241,PORT CHRISTOPHERSHIRE
245,SOUTH JESSICAVILLE
246,GRIFFINTOWN
247,SOUTH HOLLY
248,SAMANTHAMOUTH
249,VICTORIAVILLE
250,NORTH JILLCHESTER
257,MARIOBURY
258,EAST JENNIFERCHESTER
259,NORTH CLAUDIAHAVEN
260,WEST HAROLD
265,SOUTH ALISONVILLE
266,VALERIEFORT
267,SOUTH CHARLESTON
268,SOUTH JEFFREYBERG
269,ARMSTRONGBURGH
270,MORANSHIRE
271,SOUTH DIANETOWN
279,NICHOLSONSHIRE
280,NORTH MICHAEL
281,KINGPORT
282,CONLEYMOUTH
283,EAST DANIELVILLE
289,JESSICASHIRE
290,ROGERSCHESTER
291,ROBINFURT
292,MCLAUGHLINBURGH
293,NEW WILLIAM
299,JACOBMOUTH
300,NORTH MICHELLEHAVEN
301,COOKSTAD
305,ANNALAND
306,DANIELPORT
307,BRIANNATON
308,GATESBERG
313,LINDSEYBOROUGH
314,BARNESBOROUGH
315,SOUTH KARENBERG
316,LAKE TAYLORMOUTH
321,SOUTH DARRELL
322,SOUTH LISA
323,SOUTH PATRICIA
327,LORRAINEVIEW
328,CODYMOUTH
329,CHRISTOPHERVIEW
330,MARTINEZPORT
335,WEST DANIELSHIRE
336,NORTH LUKEMOUTH
337,PORT KATIE
341,NEW ANTHONY
342,NORTH EMILY
343,DEREKLAND
347,WEST AMY
348,JOHNBERG
349,SOUTH JOSHUA
350,PORT LINDSAY
351,NORTH RYANPORT
352,THOMASBURY
353,RODRIGUEZSHIRE
354,NORTH DEBORAHBURGH
355,EAST RACHELBOROUGH
365,JEFFERYFORT
366,NORTH MATTHEW
367,WEST RACHEL
368,SCOTTBURGH
373,EAST SARABERG
374,MARYFURT
375,DEBORAHVIEW
376,STEPHENCHESTER
381,EAST TODDTOWN
383,BECKERFURT
385,DANIELSBOROUGH
386,GUERREROVILLE
389,NATHANBERG
390,EAST AMYLAND
391,NEW CHAD
392,PORT TERESA
393,BROWNPORT
394,CURTISSHIRE
395,ASHLEYLAND
396,NEW MARY
405,WEST MICHAEL
406,NEW JOSEPHSHIRE
407,EAST DEBORAHFURT
411,NORTH LINDSEY
412,EAST BETTY
413,EAST JENNIFERFURT
414,GREENESHIRE
419,SOUTH JASON
421,XAVIERFORT
422,WILLIAMSSIDE
423,PORT WILLIAM
427,MICHAELBERG
428,PORT JASONFORT
429,EAST JEFFERYVIEW
433,LAKE KIMBERLY
434,NORTH JENNIFER
435,SOUTH KAITLINVILLE
436,WEST ANDREWMOUTH
437,NORTH JESSICA
443,EAST JANETBURGH
444,SANCHEZFORT
445,KATHRYNTOWN
446,HUFFBURY
447,SHEPHERDMOUTH
448,LEEFORT
455,HOLLYBURGH
456,SOUTH JOSECHESTER
457,SOUTH VERONICA
458,SILVABOROUGH
459,GROSSPORT
460,NORTH CLAIRE
461,PORT JAMES
469,WEST JENNIFER
470,YANGBOROUGH
473,BRYANTFURT
474,NORTH DAVIDCHESTER
475,ANDREWCHESTER
476,LAKE VALERIE
481,NEW CHADHAVEN
482,WEST DENNIS
483,WEST LAUREN
484,MICHEALCHESTER
485,NEW MICHAEL
491,CHRISTOPHERTON
492,GARCIALAND
497,MILLERBOROUGH
498,WEST JONATHAN
499,PORT NATASHA
503,ELLIOTTMOUTH
504,LAKE ANN
505,HUNTSTAD
506,SOUTH CODYBOROUGH
507,WILLIAMSTAD
513,KENNETHVILLE
514,PORT CARLA
517,WEST ELAINE
518,EAST EVANTOWN
520,EAST ALISON
525,THORNTONMOUTH
526,DAVIDMOUTH
527,STEVETOWN
528,SANDRAHAVEN
529,NEW CYNTHIA
530,LAKE BRIANFORT
531,PORT LINDSEY
539,PORT JOSEPH
540,SOUTH MARTIN
541,NORTH SAMUELSHIRE
542,REYNOLDSSHIRE
543,MICHELLELAND
549,WEST DESTINYVILLE
550,CUMMINGSMOUTH
551,NEW MELODYPORT
555,SHELBYBURY
556,NORTH ALEXISFORT
557,GARYSTAD
558,WEST BRANDONTON
563,MILLERBERG
564,PORT ANTHONY
565,CYNTHIAFURT
569,NEW KAREN
570,LAKE MARVINBURGH
571,NEW NICOLEBERG
575,NORTH AMBERBURGH
576,SOUTH ANGELA
577,MICHAELBURY
578,EAST CYNTHIAFORT
583,NORTH JACQUELINE
584,WEST CONNOR
585,HENDRICKSHAVEN
589,GAILBERG
590,JOHNCHESTER
591,WEST ALVIN
592,PORT BOBBY
597,FRAZIERMOUTH
598,LAKE JOHNBOROUGH
601,BYRDBERG
603,TORRESBURGH
604,SOUTH MARYCHESTER
607,PORT CHRISTOPHER
608,DENNISPORT
611,PORT AMBER
612,LAKE FELICIA
613,WENDYFURT
614,ROBERTVIEW
615,ADKINSBERG
621,EAST VINCENT
622,EAST DENISE
623,TAYLORBERG
624,NORTH IAN
629,BOBSHIRE
630,JOHNLAND
633,NEW SCOTTMOUTH
635,PORT REBECCAHAVEN
637,PORT DANIEL
638,LAKE KIM
639,MELISSABERG
640,BROWNMOUTH
645,PORT MARY
646,HANNAHMOUTH
649,KINGLAND
650,PORT SCOTT
651,LAKE DANIEL
655,ANDERSONBURGH
656,SOUTH LUIS
657,PORT DANA
661,SCOTTBOROUGH
662,EAST KEVINSTAD
663,WEST JOSEMOUTH
664,JESSICABOROUGH
669,NEW KATHERINEBURY
670,JOSEPHBURY
671,MOLLYSTAD
675,NEW DAVIDFURT
676,NORTH DAVIDFORT
677,NORTH CYNTHIABURGH
678,CHURCHVILLE
679,SOUTH CHLOE
685,HEATHERBURGH
686,HERNANDEZSIDE
687,EAST LESLIECHESTER
691,PORT SERGIO
692,STEVENBURGH
693,EVANSSHIRE
694,DENISEHAVEN
699,NORTH CASSANDRA
700,NEW GENELAND
701,NEW ALLISONFORT
702,PARKSHAVEN
707,NEW GLENN
708,LAKE CRYSTAL
709,NEW STEVE
713,EAST JERRY
714,ELLISVILLE
715,WEST PAULVILLE
716,EAST ROBYNTON
721,SOUTH BILLY
722,WILLIAMSHAVEN
723,SOUTH STEPHANIEBERG
724,EDWARDPORT
729,GREENLAND
730,KAISERBURY
731,LAKE NICOLETON
732,EAST MARIAHAVEN
733,SALINASFURT
734,CASEHAVEN
735,SOUTH RACHEL
743,PORT PATRICIAPORT
744,MITCHELLCHESTER
747,WEST CHRISTINA
748,PORT ANTONIO
749,PORT BARRY
753,KAYLAHAVEN
755,PORT AUTUMNBURGH
756,JORDANSHIRE
757,WEST LISASIDE
763,LAKE KELLY
764,SOUTH ASHLEY
767,LUNAFURT
768,WEST ERIC
769,SOUTH TRACIEVILLE
770,AARONBOROUGH
775,WILSONSTAD
776,NORTH JANE
777,BRITTANYFORT
778,CERVANTESBURY
779,NEW ROBERT
780,PAYNESIDE
787,LISAHAVEN
788,NEW AMANDAHAVEN
790,AMYLAND
791,NORTH HEATHERVILLE
797,CRYSTALBURGH
798,EAST PAUL
799,ELIZABETHFURT
800,PORT ROBIN
801,HERNANDEZBURY
802,PETERSONMOUTH
809,MITCHELLHAVEN
810,EAST KATHERINEVILLE
813,EAST WESLEY
814,NEW KEITHSIDE
815,NEW ANDREWSHIRE
819,TYLERMOUTH
821,NORTH AMYFURT
822,HARRISBERG
823,NEW HENRYVIEW
824,CHRISTOPHERSHIRE
829,LAKE KENNETH
833,SOUTH JEFFREY
834,PERRYSIDE
835,MARISSALAND
836,SOUTH MEGAN
837,NORTH DAVID
838,JESSICATON
839,KINGBURGH
847,RICHARDBERG
848,HENRYHAVEN
849,WEST TAMARA
850,KARENSTAD
855,ROWESHIRE
856,HALEYSTAD
857,EAST MADISON
858,ANTHONYBURGH
863,NORTH TODDBERG
864,COMPTONBOROUGH
867,CHUNGBERG
868,DURANLAND
870,WEST JORGE
871,EAST SARAMOUTH
872,WILLISCHESTER
873,PORT EDWINFORT
874,NEW RYANLAND
875,POWELLLAND
876,NORTH DENISE
877,WEST KIMBERLYBURGH
878,NORTH JONATHANLAND
879,SOUTH ROBERT
880,WEST CRYSTALBURGH
881,GUTIERREZBURGH
882,PORT JUSTINTOWN
883,MILLSCHESTER
884,WEST CHERYLBURGH
885,CYNTHIABERG
905,EAST ADAM
906,JILLIANBERG
907,SMITHLAND
908,EAST TRAVISSHIRE
913,SOUTH BLAKEPORT
914,GLORIACHESTER
915,SIMONFORT
916,LAKE JOHN
921,EAST NEILMOUTH
922,SOUTH RENEE
927,LAKE ROBERT
928,MELTONFURT
929,JOSELAND
930,SOUTH JEFFREYSTAD
931,ERINCHESTER
932,EAST ANGELABURGH
939,MARSHBURGH
940,SOUTH CATHERINE
941,EAST ASHLEY
942,NORTH CHRISTY
943,MOORETON
949,WEST REBECCA
950,NEW KIM
951,PORT PATRICIA
952,CODYFURT
953,HARRISHAVEN
959,EVANSMOUTH
960,EAST TIFFANYSHIRE
961,EAST CONNORSHIRE
962,NEW ROSSFURT
963,ORTEGABURY
964,LAKE STEVENTON
965,KYLEHAVEN
966,SOUTH AMBERBERG
975,BIRDCHESTER
979,NORTH ALYSSAMOUTH
980,NORTH JAMESHAVEN
983,BAKERMOUTH
985,LAKE THERESABERG
986,CHANDLERPORT
989,CARRVILLE
990,CARMENPORT
991,NORTH ALICIA
995,WEST BENJAMIN
996,KNIGHTSIDE
997,CHRISTENSENFORT
998,WEST ASHLEY
999,WEST KEVIN
1000,LINDABERG
1007,WEST RICARDOCHESTER
1008,PAMELAVILLE
1009,WILLIAMSVIEW
1010,NEW TAMMY
1015,WEST SAMUELBURY
1016,GARRETTMOUTH
1017,JOHNFURT
1021,MORENOBURY
1023,SHELIAMOUTH
1024,PORT BRANDONSTAD
1029,PROCTORMOUTH
1031,TIMOTHYFURT
1032,SOUTH KRISTOPHER
1035,EAST DONNA
1036,NORTH JESSE
1037,RUSSELLBERG
1038,SOUTH CRYSTAL
1039,LAKE JONATHANBERG
1040,WILLIAMSTOWN
1041,GARCIATON
1049,BRIANHAVEN
1050,BECKYSTAD
